path,filename,product_name,model,condition,barcode,anomaly_type,is_anomaly
./extracted_data/clarity_dataset_v6\test\AirPods_Pro_2_Good\195949704529_GradeA_down_20250821_074814_full.jpg,195949704529_GradeA_down_20250821_074814_full.jpg,AirPods_Pro,2,Good,195949704529,Grade A,False
./extracted_data/clarity_dataset_v6\test\AirPods_Pro_2_Good\195949704529_GradeA_up_20250821_075028_full.jpg,195949704529_GradeA_up_20250821_075028_full.jpg,AirPods_Pro,2,Good,195949704529,Grade A,False
./extracted_data/clarity_dataset_v6\test\Apple_Watch_10_42mm_Cellular_Good\195949561085_GradeA_down_20250821_084805_full.jpg,195949561085_GradeA_down_20250821_084805_full.jpg,Apple_Watch_10_42mm,Cellular,Good,195949561085,Grade A,False
./extracted_data/clarity_dataset_v6\test\Apple_Watch_10_42mm_Cellular_Good\195949561085_GradeA_down_20250821_084925_full.jpg,195949561085_GradeA_down_20250821_084925_full.jpg,Apple_Watch_10_42mm,Cellular,Good,195949561085,Grade A,False
./extracted_data/clarity_dataset_v6\test\Apple_Watch_10_42mm_Cellular_Good\195949561085_GradeA_down_20250821_084936_full.jpg,195949561085_GradeA_down_20250821_084936_full.jpg,Apple_Watch_10_42mm,Cellular,Good,195949561085,Grade A,False
./extracted_data/clarity_dataset_v6\test\Apple_Watch_10_42mm_Cellular_Good\195949561122_GradeA_down_20250820_090358_full.jpg,195949561122_GradeA_down_20250820_090358_full.jpg,Apple_Watch_10_42mm,Cellular,Good,195949561122,Grade A,False
./extracted_data/clarity_dataset_v6\test\Apple_Watch_10_42mm_Cellular_Good\195949561122_GradeA_down_20250821_084625_full.jpg,195949561122_GradeA_down_20250821_084625_full.jpg,Apple_Watch_10_42mm,Cellular,Good,195949561122,Grade A,False
./extracted_data/clarity_dataset_v6\test\Apple_Watch_10_42mm_Cellular_Good\195949561122_GradeA_up_20250820_090319_full.jpg,195949561122_GradeA_up_20250820_090319_full.jpg,Apple_Watch_10_42mm,Cellular,Good,195949561122,Grade A,False
./extracted_data/clarity_dataset_v6\test\Apple_Watch_10_42mm_Good\195949560859_GradeA_down_20250820_091543_full.jpg,195949560859_GradeA_down_20250820_091543_full.jpg,Apple_Watch_10,42mm,Good,195949560859,Grade A,False
./extracted_data/clarity_dataset_v6\test\Apple_Watch_10_42mm_Good\195949560859_GradeA_up_20250820_091513_full.jpg,195949560859_GradeA_up_20250820_091513_full.jpg,Apple_Watch_10,42mm,Good,195949560859,Grade A,False
./extracted_data/clarity_dataset_v6\test\Apple_Watch_10_42mm_Good\195949560880_Mint_up_20250819_151352_full.jpg,195949560880_Mint_up_20250819_151352_full.jpg,Apple_Watch_10,42mm,Good,195949560880,Grade A,False
./extracted_data/clarity_dataset_v6\test\Apple_Watch_10_42mm_Good\195949560897_Mint_down_20250819_153246_full.jpg,195949560897_Mint_down_20250819_153246_full.jpg,Apple_Watch_10,42mm,Good,195949560897,Grade A,False
./extracted_data/clarity_dataset_v6\test\Apple_Watch_10_42mm_Good\195949560897_Mint_up_20250819_153221_full.jpg,195949560897_Mint_up_20250819_153221_full.jpg,Apple_Watch_10,42mm,Good,195949560897,Grade A,False
./extracted_data/clarity_dataset_v6\test\Apple_Watch_10_46mm_Cellular_Good\195949561252_Mint_up_20250819_153855_full.jpg,195949561252_Mint_up_20250819_153855_full.jpg,Apple_Watch_10_46mm,Cellular,Good,195949561252,Grade A,False
./extracted_data/clarity_dataset_v6\test\Apple_Watch_10_46mm_Cellular_Good\195949561252_Mint_up_20250819_153904_full.jpg,195949561252_Mint_up_20250819_153904_full.jpg,Apple_Watch_10_46mm,Cellular,Good,195949561252,Grade A,False
./extracted_data/clarity_dataset_v6\test\Apple_Watch_10_46mm_Cellular_Good\195949561252_Mint_up_20250819_153916_full.jpg,195949561252_Mint_up_20250819_153916_full.jpg,Apple_Watch_10_46mm,Cellular,Good,195949561252,Grade A,False
./extracted_data/clarity_dataset_v6\test\Apple_Watch_10_46mm_Cellular_Good\195949561283_GradeA_down_20250820_085517_full.jpg,195949561283_GradeA_down_20250820_085517_full.jpg,Apple_Watch_10_46mm,Cellular,Good,195949561283,Grade A,False
./extracted_data/clarity_dataset_v6\test\Apple_Watch_10_46mm_Cellular_Good\195949561283_GradeA_up_20250820_085506_full.jpg,195949561283_GradeA_up_20250820_085506_full.jpg,Apple_Watch_10_46mm,Cellular,Good,195949561283,Grade A,False
./extracted_data/clarity_dataset_v6\test\Apple_Watch_10_46mm_Cellular_Good\195949561283_Mint_down_20250819_155807_full.jpg,195949561283_Mint_down_20250819_155807_full.jpg,Apple_Watch_10_46mm,Cellular,Good,195949561283,Grade A,False
./extracted_data/clarity_dataset_v6\test\Apple_Watch_10_46mm_Cellular_Good\195949561320_Mint_up_20250819_160510_full.jpg,195949561320_Mint_up_20250819_160510_full.jpg,Apple_Watch_10_46mm,Cellular,Good,195949561320,Grade A,False
./extracted_data/clarity_dataset_v6\test\Apple_Watch_10_46mm_Counterfeit\195949560989_Counterfeit_down_20250821_105413_full.jpg,195949560989_Counterfeit_down_20250821_105413_full.jpg,Apple_Watch_10,46mm,Counterfeit,195949560989,Counterfeit,True
./extracted_data/clarity_dataset_v6\test\Apple_Watch_10_46mm_Good\195949560965_Mint_up_20250819_151739_full.jpg,195949560965_Mint_up_20250819_151739_full.jpg,Apple_Watch_10,46mm,Good,195949560965,Grade A,False
./extracted_data/clarity_dataset_v6\test\Apple_Watch_8_41mm_Cellular_Good\194253215127_Mint_up_20250819_154234_full.jpg,194253215127_Mint_up_20250819_154234_full.jpg,Apple_Watch_8_41mm,Cellular,Good,194253215127,Grade A,False
./extracted_data/clarity_dataset_v6\test\Apple_Watch_8_41mm_Cellular_Good\194253215127_Mint_up_20250819_154253_full.jpg,194253215127_Mint_up_20250819_154253_full.jpg,Apple_Watch_8_41mm,Cellular,Good,194253215127,Grade A,False
./extracted_data/clarity_dataset_v6\test\Apple_Watch_8_41mm_Cellular_Good\194253215134_Mint_down_20250819_151634_full.jpg,194253215134_Mint_down_20250819_151634_full.jpg,Apple_Watch_8_41mm,Cellular,Good,194253215134,Grade A,False
./extracted_data/clarity_dataset_v6\test\Apple_Watch_8_41mm_Cellular_Good\194253215134_Mint_up_20250819_151615_full.jpg,194253215134_Mint_up_20250819_151615_full.jpg,Apple_Watch_8_41mm,Cellular,Good,194253215134,Grade A,False
./extracted_data/clarity_dataset_v6\test\Apple_Watch_8_41mm_Cellular_Good\194253215172_GradeA_down_20250820_085203_full.jpg,194253215172_GradeA_down_20250820_085203_full.jpg,Apple_Watch_8_41mm,Cellular,Good,194253215172,Grade A,False
./extracted_data/clarity_dataset_v6\test\Apple_Watch_8_41mm_Good\194253214977_Mint_down_20250819_151120_full.jpg,194253214977_Mint_down_20250819_151120_full.jpg,Apple_Watch_8,41mm,Good,194253214977,Grade A,False
./extracted_data/clarity_dataset_v6\test\Apple_Watch_8_45mm_Cellular_Good\194253182832_Mint_down_20250819_153644_full.jpg,194253182832_Mint_down_20250819_153644_full.jpg,Apple_Watch_8_45mm,Cellular,Good,194253182832,Grade A,False
./extracted_data/clarity_dataset_v6\test\Apple_Watch_8_45mm_Cellular_Good\194253182832_Mint_up_20250819_153604_full.jpg,194253182832_Mint_up_20250819_153604_full.jpg,Apple_Watch_8_45mm,Cellular,Good,194253182832,Grade A,False
./extracted_data/clarity_dataset_v6\test\Apple_Watch_8_45mm_Cellular_Good\194253215257_Mint_down_20250819_154150_full.jpg,194253215257_Mint_down_20250819_154150_full.jpg,Apple_Watch_8_45mm,Cellular,Good,194253215257,Grade A,False
./extracted_data/clarity_dataset_v6\test\Apple_Watch_8_45mm_Cellular_Good\194253215264_GradeA_up_20250820_085310_full.jpg,194253215264_GradeA_up_20250820_085310_full.jpg,Apple_Watch_8_45mm,Cellular,Good,194253215264,Grade A,False
./extracted_data/clarity_dataset_v6\test\Apple_Watch_8_45mm_Cellular_Good\194253215288_Mint_down_20250819_160251_full.jpg,194253215288_Mint_down_20250819_160251_full.jpg,Apple_Watch_8_45mm,Cellular,Good,194253215288,Grade A,False
./extracted_data/clarity_dataset_v6\test\Apple_Watch_9_41mm_Cellular_Good\194253845393_Mint_down_20250819_155230_full.jpg,194253845393_Mint_down_20250819_155230_full.jpg,Apple_Watch_9_41mm,Cellular,Good,194253845393,Grade A,False
./extracted_data/clarity_dataset_v6\test\Apple_Watch_9_41mm_Cellular_Good\194253845393_Mint_up_20250819_155157_full.jpg,194253845393_Mint_up_20250819_155157_full.jpg,Apple_Watch_9_41mm,Cellular,Good,194253845393,Grade A,False
./extracted_data/clarity_dataset_v6\test\Apple_Watch_9_41mm_Good\194253814269_GradeA_down_20250820_085729_full.jpg,194253814269_GradeA_down_20250820_085729_full.jpg,Apple_Watch_9,41mm,Good,194253814269,Grade A,False
./extracted_data/clarity_dataset_v6\test\Apple_Watch_9_41mm_Good\194253815372_Mint_up_20250819_155504_full.jpg,194253815372_Mint_up_20250819_155504_full.jpg,Apple_Watch_9,41mm,Good,194253815372,Grade A,False
./extracted_data/clarity_dataset_v6\test\Apple_Watch_9_41mm_Good\194253941538_GradeA_down_20250820_090158_full.jpg,194253941538_GradeA_down_20250820_090158_full.jpg,Apple_Watch_9,41mm,Good,194253941538,Grade A,False
./extracted_data/clarity_dataset_v6\test\Apple_Watch_9_41mm_Good\194253941538_Mint_down_20250819_154409_full.jpg,194253941538_Mint_down_20250819_154409_full.jpg,Apple_Watch_9,41mm,Good,194253941538,Grade A,False
./extracted_data/clarity_dataset_v6\test\Apple_Watch_9_41mm_Good\194253941538_Mint_up_20250819_154350_full.jpg,194253941538_Mint_up_20250819_154350_full.jpg,Apple_Watch_9,41mm,Good,194253941538,Grade A,False
./extracted_data/clarity_dataset_v6\test\Apple_Watch_9_45mm_Cellular_Good\194253853817_Mint_down_20250819_154543_full.jpg,194253853817_Mint_down_20250819_154543_full.jpg,Apple_Watch_9_45mm,Cellular,Good,194253853817,Grade A,False
./extracted_data/clarity_dataset_v6\test\Apple_Watch_9_45mm_Cellular_Good\194253853817_Mint_up_20250819_154523_full.jpg,194253853817_Mint_up_20250819_154523_full.jpg,Apple_Watch_9_45mm,Cellular,Good,194253853817,Grade A,False
./extracted_data/clarity_dataset_v6\test\Apple_Watch_9_45mm_Cellular_Good\194253926412_Mint_down_20250819_154717_full.jpg,194253926412_Mint_down_20250819_154717_full.jpg,Apple_Watch_9_45mm,Cellular,Good,194253926412,Grade A,False
./extracted_data/clarity_dataset_v6\test\Apple_Watch_9_45mm_Cellular_Good\194253926757_Mint_up_20250819_165853_full.jpg,194253926757_Mint_up_20250819_165853_full.jpg,Apple_Watch_9_45mm,Cellular,Good,194253926757,Grade A,False
./extracted_data/clarity_dataset_v6\test\Apple_Watch_9_45mm_Counterfeit\194253941606_Counterfeit_up_20250821_105549_full.jpg,194253941606_Counterfeit_up_20250821_105549_full.jpg,Apple_Watch_9,45mm,Counterfeit,194253941606,Counterfeit,True
./extracted_data/clarity_dataset_v6\test\Apple_Watch_9_45mm_Good\194253941606_GradeA_down_20250821_085145_full.jpg,194253941606_GradeA_down_20250821_085145_full.jpg,Apple_Watch_9,45mm,Good,194253941606,Grade A,False
./extracted_data/clarity_dataset_v6\test\Apple_Watch_9_45mm_Good\194253941606_GradeA_up_20250821_085238_full.jpg,194253941606_GradeA_up_20250821_085238_full.jpg,Apple_Watch_9,45mm,Good,194253941606,Grade A,False
./extracted_data/clarity_dataset_v6\test\Apple_Watch_9_45mm_Good\194253941606_GradeA_up_20250821_085250_full.jpg,194253941606_GradeA_up_20250821_085250_full.jpg,Apple_Watch_9,45mm,Good,194253941606,Grade A,False
./extracted_data/clarity_dataset_v6\test\Apple_Watch_9_45mm_Good\194253941606_Mint_down_20250819_154048_full.jpg,194253941606_Mint_down_20250819_154048_full.jpg,Apple_Watch_9,45mm,Good,194253941606,Grade A,False
./extracted_data/clarity_dataset_v6\test\Apple_Watch_9_45mm_Good\194253941613_Mint_down_20250819_160054_full.jpg,194253941613_Mint_down_20250819_160054_full.jpg,Apple_Watch_9,45mm,Good,194253941613,Grade A,False
./extracted_data/clarity_dataset_v6\test\Apple_Watch_9_45mm_Good\194253941613_Mint_up_20250819_155849_full.jpg,194253941613_Mint_up_20250819_155849_full.jpg,Apple_Watch_9,45mm,Good,194253941613,Grade A,False
./extracted_data/clarity_dataset_v6\test\Apple_Watch_9_45mm_Good\194253941668_GradeA_down_20250820_084053_full.jpg,194253941668_GradeA_down_20250820_084053_full.jpg,Apple_Watch_9,45mm,Good,194253941668,Grade A,False
./extracted_data/clarity_dataset_v6\test\Apple_Watch_9_45mm_Good\194253941668_GradeA_up_20250820_084042_full.jpg,194253941668_GradeA_up_20250820_084042_full.jpg,Apple_Watch_9,45mm,Good,194253941668,Grade A,False
./extracted_data/clarity_dataset_v6\test\Apple_Watch_SE_2_40mm_Cellular_Good\194253209546_GradeA_up_20250820_091836_full.jpg,194253209546_GradeA_up_20250820_091836_full.jpg,Apple_Watch_SE_2_40mm,Cellular,Good,194253209546,Grade A,False
./extracted_data/clarity_dataset_v6\test\Apple_Watch_SE_2_40mm_Good\194253769026_GradeA_down_20250820_090540_full.jpg,194253769026_GradeA_down_20250820_090540_full.jpg,Apple_Watch_SE_2,40mm,Good,194253769026,Grade A,False
./extracted_data/clarity_dataset_v6\test\Apple_Watch_SE_2_40mm_Good\194253769767_GradeA_up_20250820_090908_full.jpg,194253769767_GradeA_up_20250820_090908_full.jpg,Apple_Watch_SE_2,40mm,Good,194253769767,Grade A,False
./extracted_data/clarity_dataset_v6\test\Apple_Watch_SE_2_40mm_Good\194253769767_GradeA_up_20250820_090932_full.jpg,194253769767_GradeA_up_20250820_090932_full.jpg,Apple_Watch_SE_2,40mm,Good,194253769767,Grade A,False
./extracted_data/clarity_dataset_v6\test\Apple_Watch_SE_2_40mm_Good\194253770138_Mint_down_20250819_153540_full.jpg,194253770138_Mint_down_20250819_153540_full.jpg,Apple_Watch_SE_2,40mm,Good,194253770138,Grade A,False
./extracted_data/clarity_dataset_v6\test\Apple_Watch_SE_2_40mm_Good\194253770138_Mint_up_20250819_153509_full.jpg,194253770138_Mint_up_20250819_153509_full.jpg,Apple_Watch_SE_2,40mm,Good,194253770138,Grade A,False
./extracted_data/clarity_dataset_v6\test\Apple_Watch_SE_2_44mm_Good\194252618356_GradeA_down_20250820_084251_full.jpg,194252618356_GradeA_down_20250820_084251_full.jpg,Apple_Watch_SE_2,44mm,Good,194252618356,Grade A,False
./extracted_data/clarity_dataset_v6\test\Apple_Watch_SE_2_44mm_Good\194252618356_Mint_up_20250819_160353_full.jpg,194252618356_Mint_up_20250819_160353_full.jpg,Apple_Watch_SE_2,44mm,Good,194252618356,Grade A,False
./extracted_data/clarity_dataset_v6\test\Apple_Watch_SE_2_44mm_Good\194252618356_Mint_up_20250819_160403_full.jpg,194252618356_Mint_up_20250819_160403_full.jpg,Apple_Watch_SE_2,44mm,Good,194252618356,Grade A,False
./extracted_data/clarity_dataset_v6\test\Apple_Watch_SE_2_44mm_Good\194253209485_Mint_up_20250819_155610_full.jpg,194253209485_Mint_up_20250819_155610_full.jpg,Apple_Watch_SE_2,44mm,Good,194253209485,Grade A,False
./extracted_data/clarity_dataset_v6\test\Apple_Watch_SE_2_44mm_Good\194253209485_Mint_up_20250819_155620_full.jpg,194253209485_Mint_up_20250819_155620_full.jpg,Apple_Watch_SE_2,44mm,Good,194253209485,Grade A,False
./extracted_data/clarity_dataset_v6\test\Apple_Watch_SE_2_44mm_Good\194253772354_GradeA_up_20250820_085942_full.jpg,194253772354_GradeA_up_20250820_085942_full.jpg,Apple_Watch_SE_2,44mm,Good,194253772354,Grade A,False
./extracted_data/clarity_dataset_v6\test\Apple_Watch_SE_2_44mm_Good\195949644450_Mint_down_20250819_151511_full.jpg,195949644450_Mint_down_20250819_151511_full.jpg,Apple_Watch_SE_2,44mm,Good,195949644450,Grade A,False
./extracted_data/clarity_dataset_v6\test\Apple_Watch_SE_2_44mm_Good\195949645532_GradeA_down_20250820_091110_full.jpg,195949645532_GradeA_down_20250820_091110_full.jpg,Apple_Watch_SE_2,44mm,Good,195949645532,Grade A,False
./extracted_data/clarity_dataset_v6\test\Beats_Studio3_Counterfeit\190199462748_Counterfeit_up_20250821_095606_full.jpg,190199462748_Counterfeit_up_20250821_095606_full.jpg,Beats,Studio3,Counterfeit,190199462748,Counterfeit,True
./extracted_data/clarity_dataset_v6\test\Beats_Studio3_Good\190199312722_GradeA_down_20250821_081326_full.jpg,190199312722_GradeA_down_20250821_081326_full.jpg,Beats,Studio3,Good,190199312722,Grade A,False
./extracted_data/clarity_dataset_v6\test\Beats_Studio3_Good\190199312722_GradeA_down_20250821_081352_full.jpg,190199312722_GradeA_down_20250821_081352_full.jpg,Beats,Studio3,Good,190199312722,Grade A,False
./extracted_data/clarity_dataset_v6\test\Beats_Studio3_Good\190199312722_GradeA_up_20250821_081115_full.jpg,190199312722_GradeA_up_20250821_081115_full.jpg,Beats,Studio3,Good,190199312722,Grade A,False
./extracted_data/clarity_dataset_v6\test\Beats_Studio3_Good\190199312722_GradeA_up_20250821_081313_full.jpg,190199312722_GradeA_up_20250821_081313_full.jpg,Beats,Studio3,Good,190199312722,Grade A,False
./extracted_data/clarity_dataset_v6\test\iPad_10_Good\194253387442_GradeA_down_20250820_092715_full.jpg,194253387442_GradeA_down_20250820_092715_full.jpg,iPad,10,Good,194253387442,Grade A,False
./extracted_data/clarity_dataset_v6\test\iPad_10_Good\194253387442_Mint_down_20250819_142248_full.jpg,194253387442_Mint_down_20250819_142248_full.jpg,iPad,10,Good,194253387442,Grade A,False
./extracted_data/clarity_dataset_v6\test\iPad_10_Good\194253387442_Mint_up_20250819_150334_full.jpg,194253387442_Mint_up_20250819_150334_full.jpg,iPad,10,Good,194253387442,Grade A,False
./extracted_data/clarity_dataset_v6\test\iPad_10_Good\194253387718_GradeA_down_20250820_092218_full.jpg,194253387718_GradeA_down_20250820_092218_full.jpg,iPad,10,Good,194253387718,Grade A,False
./extracted_data/clarity_dataset_v6\test\iPad_10_Good\194253389873_GradeA_down_20250820_092847_full.jpg,194253389873_GradeA_down_20250820_092847_full.jpg,iPad,10,Good,194253389873,Grade A,False
./extracted_data/clarity_dataset_v6\test\iPad_10_Good\194253390145_GradeA_down_20250820_120903_full.jpg,194253390145_GradeA_down_20250820_120903_full.jpg,iPad,10,Good,194253390145,Grade A,False
./extracted_data/clarity_dataset_v6\test\iPad_10_Good\194253390145_Mint_down_20250819_145956_full.jpg,194253390145_Mint_down_20250819_145956_full.jpg,iPad,10,Good,194253390145,Grade A,False
./extracted_data/clarity_dataset_v6\test\iPad_10_Good\194253390145_Mint_up_20250819_145926_full.jpg,194253390145_Mint_up_20250819_145926_full.jpg,iPad,10,Good,194253390145,Grade A,False
./extracted_data/clarity_dataset_v6\test\iPad_10_Good\194253390145_Mint_up_20250819_145945_full.jpg,194253390145_Mint_up_20250819_145945_full.jpg,iPad,10,Good,194253390145,Grade A,False
./extracted_data/clarity_dataset_v6\test\iPad_10_Good\194253390411_GradeA_down_20250820_102709_full.jpg,194253390411_GradeA_down_20250820_102709_full.jpg,iPad,10,Good,194253390411,Grade A,False
./extracted_data/clarity_dataset_v6\test\iPad_10_Good\194253390411_GradeA_up_20250820_102615_full.jpg,194253390411_GradeA_up_20250820_102615_full.jpg,iPad,10,Good,194253390411,Grade A,False
./extracted_data/clarity_dataset_v6\test\iPad_10_Good\194253390411_GradeA_up_20250820_102628_full.jpg,194253390411_GradeA_up_20250820_102628_full.jpg,iPad,10,Good,194253390411,Grade A,False
./extracted_data/clarity_dataset_v6\test\iPad_11_Good\195950084931_GradeA_down_20250820_120512_full.jpg,195950084931_GradeA_down_20250820_120512_full.jpg,iPad,11,Good,195950084931,Grade A,False
./extracted_data/clarity_dataset_v6\test\iPad_11_Good\195950084931_GradeA_down_20250821_082617_full.jpg,195950084931_GradeA_down_20250821_082617_full.jpg,iPad,11,Good,195950084931,Grade A,False
./extracted_data/clarity_dataset_v6\test\iPad_11_Good\195950084931_GradeA_down_20250821_082735_full.jpg,195950084931_GradeA_down_20250821_082735_full.jpg,iPad,11,Good,195950084931,Grade A,False
./extracted_data/clarity_dataset_v6\test\iPad_11_Good\195950084931_GradeA_up_20250820_120459_full.jpg,195950084931_GradeA_up_20250820_120459_full.jpg,iPad,11,Good,195950084931,Grade A,False
./extracted_data/clarity_dataset_v6\test\iPad_11_Good\195950084931_GradeA_up_20250821_082705_full.jpg,195950084931_GradeA_up_20250821_082705_full.jpg,iPad,11,Good,195950084931,Grade A,False
./extracted_data/clarity_dataset_v6\test\iPad_11_Good\195950084931_Mint_down_20250819_150946_full.jpg,195950084931_Mint_down_20250819_150946_full.jpg,iPad,11,Good,195950084931,Grade A,False
./extracted_data/clarity_dataset_v6\test\iPad_11_Good\195950084931_Mint_down_20250819_150956_full.jpg,195950084931_Mint_down_20250819_150956_full.jpg,iPad,11,Good,195950084931,Grade A,False
./extracted_data/clarity_dataset_v6\test\iPad_11_Good\195950086232_GradeA_down_20250820_093215_full.jpg,195950086232_GradeA_down_20250820_093215_full.jpg,iPad,11,Good,195950086232,Grade A,False
./extracted_data/clarity_dataset_v6\test\iPad_11_Good\195950086232_GradeA_up_20250820_093118_full.jpg,195950086232_GradeA_up_20250820_093118_full.jpg,iPad,11,Good,195950086232,Grade A,False
./extracted_data/clarity_dataset_v6\test\iPad_11_Good\195950086690_GradeA_down_20250820_093858_full.jpg,195950086690_GradeA_down_20250820_093858_full.jpg,iPad,11,Good,195950086690,Grade A,False
./extracted_data/clarity_dataset_v6\test\iPad_11_Good\195950087383_GradeA_down_20250820_094140_full.jpg,195950087383_GradeA_down_20250820_094140_full.jpg,iPad,11,Good,195950087383,Grade A,False
./extracted_data/clarity_dataset_v6\test\iPad_11_Good\195950087383_GradeA_up_20250820_094100_full.jpg,195950087383_GradeA_up_20250820_094100_full.jpg,iPad,11,Good,195950087383,Grade A,False
./extracted_data/clarity_dataset_v6\test\iPad_11_Good\195950087383_Mint_down_20250819_150744_full.jpg,195950087383_Mint_down_20250819_150744_full.jpg,iPad,11,Good,195950087383,Grade A,False
./extracted_data/clarity_dataset_v6\test\iPad_11_Good\195950087383_Mint_up_20250819_150654_full.jpg,195950087383_Mint_up_20250819_150654_full.jpg,iPad,11,Good,195950087383,Grade A,False
